time,temperature_2m_max (°F),temperature_2m_min (°F),apparent_temperature_max (°F),apparent_temperature_min (°F),precipitation_sum (inch),rain_sum (inch),wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h)
3/31/2015,79.3,57.8,73.7,52.3,0,0,13.6,29.3
4/1/2015,74.1,52.9,66.9,45,0,0,12.8,26.4
4/2/2015,74.2,50,69,43.3,0,0,9.3,22.4
4/3/2015,79.4,48.3,75.5,42.9,0,0,7.4,14.8
4/4/2015,78.9,49.3,73.5,44.2,0,0,10,25.3
4/5/2015,70.7,50,67,42.7,0,0,13.9,31.8
4/6/2015,67.3,48.9,63.6,43.7,0,0,8.4,18.3
4/7/2015,58.4,46.7,55.1,43.1,0.425,0.425,11.4,21.5
4/8/2015,65.6,41.8,61.1,37.5,0.016,0.016,8.1,20.8
4/9/2015,71.8,44.6,68.6,40.6,0,0,5.7,12.3
4/10/2015,77.4,45.9,74.7,42.8,0,0,8.2,18.6
4/11/2015,78.2,49.7,73.4,46.4,0,0,12,27.5
4/12/2015,81,52.4,79.7,50,0,0,5.8,14.5
4/13/2015,88.9,52.8,87.4,50.5,0,0,15.5,31.8
4/14/2015,70.9,53,62.3,45.8,0,0,15.7,33.8
4/15/2015,76,49.3,71.8,42.7,0,0,7.6,18.1
4/16/2015,82.1,47.6,78.6,40.8,0,0,5.6,15
4/17/2015,85.5,51.7,81.9,46,0,0,6.4,15.9
4/18/2015,88.3,54.2,84.8,50,0,0,6,15
4/19/2015,89,58.2,86.6,54.2,0,0,6,15.4
4/20/2015,87.4,58.5,85.2,55.4,0,0,9.1,18.3
4/21/2015,80.9,59.2,78.8,55.8,0,0,7.7,16.8
4/22/2015,79,58.3,79.9,56.8,0,0,5.4,13.4
4/23/2015,80.8,58.6,78.5,56.2,0.012,0.012,6,14.8
4/24/2015,76.3,56.7,71.2,52.2,0.13,0.13,10.2,25.9
4/25/2015,67.3,52.8,66.5,49.7,0.421,0.421,10.5,22.6
4/26/2015,75.2,51,71.7,46.7,0,0,8.9,23
4/27/2015,84.5,51.5,85.1,48.4,0,0,5.4,13.4
4/28/2015,90.9,56.4,90.9,54.8,0,0,7.1,14.8
4/29/2015,91.1,60.5,89.8,58.4,0,0,8.6,16.3
4/30/2015,92.7,60.2,92.4,58.7,0,0,5.4,13.2
5/1/2015,95,64.9,94.1,62.7,0,0,4.9,15.2
