OutDatetime,InDatetime,Name,Voltage,DurationMin,OutageType,Cause,ResponsibleSystem,intprt,District,ID
01/09/2024 07:32,01/09/2024 07:32,Yaak: Northern Lights 12.5kV Feeder 1,12.5,0,Auto,Weather,BPA,Unknown,KAL,225348
01/09/2024 07:32,01/09/2024 07:32,Troy: Northern Lights 13.8kV Feeder 1,13.8,0,Auto,Weather,BPA,Unknown,KAL,225349
01/09/2024 07:32,01/09/2024 07:32,North Bench: Northern Lights 13.8kV Feeder 1,13.8,0,Auto,Weather,BPA,Unknown,SPK,225350
01/09/2024 07:32,01/09/2024 07:32,Troy: Northern Lights 13.8kV Feeder 2,13.8,0,Auto,Weather,BPA,Unknown,KAL,225351
01/09/2024 07:32,01/09/2024 16:00,Troy: Northern Lights 115kV Feeder 1 to Asarco,115.0,508,Auto,Weather,BPA,Unknown,KAL,225353
01/09/2024 15:45,,Pomeroy: Inland P+L 69kV Feeder 1,69.0,still out,Auto,Line Material Failure,BPA,Unknown,SPK,225370
01/09/2024 20:15,01/09/2024 23:34,Morrison: Coos-Curry Coop 115kV Feeder 1,115.0,199,Auto,Weather,BPA,Unknown,EUG,225362
01/09/2024 20:15,01/09/2024 23:34,Norway: Coos-Curry Coop 115kV Feeder 1,115.0,199,Auto,Weather,BPA,Unknown,EUG,225363
01/09/2024 20:48,01/10/2024 17:00,Carmen PH: EWEB (Eugene OR) 115kV Feeder 1,115.0,1212,Auto,Tree Blown,BPA,Unknown,EUG,225365
01/09/2024 20:48,01/09/2024 20:48,Blue River: Lane Elec Coop 115kV Feeder 1,115.0,0,Auto,Tree,BPA,Unknown,EUG,225366
01/09/2024 23:00,01/10/2024 10:18,Drain: Douglas Elec Coop 69kV Feeder 2 to Elkton,69.0,678,Auto,Unknown,Customer,Unknown,EUG,225373
01/10/2024 04:59,01/10/2024 04:59,Silver Creek: Lewis Co PUD 69kV Feeder 2 to Glenoma,69.0,0,Auto,Weather,Customer,Unknown,OLY,225374
01/10/2024 06:19,01/10/2024 08:13,Silver Creek: Lewis Co PUD 69kV Feeder 2 to Glenoma,69.0,114,Auto,Weather,Customer,Unknown,OLY,225376
01/10/2024 08:36,01/10/2024 08:40,View: Clark Public Util 12.5kV Feeder 1 by PacifiCorp (PACW),12.5,4,Auto,Weather,Customer,Unknown,LGV,225381
01/10/2024 08:42,01/10/2024 20:59,View: Clark Public Util 12.5kV Feeder 1 by PacifiCorp (PACW),12.5,737,Auto,Weather,BPA,Unknown,LGV,225384
01/10/2024 08:48,01/10/2024 09:23,Silver Creek: Lewis Co PUD 69kV Feeder 2 to Glenoma,69.0,35,Auto,Weather,Customer,Unknown,OLY,225385
01/10/2024 22:22,01/10/2024 22:22,Hampton: Central Elec Coop 115kV Feeder 1,115.0,0,Auto,Unknown,BPA,Unknown,RED,225389
01/10/2024 22:22,01/10/2024 22:22,Riley: Harney Elec Coop 115kV Feeder 1,115.0,0,Auto,Unknown,BPA,Unknown,RED,225390
01/11/2024 22:30,01/12/2024 01:35,Outlook: PacifiCorp (PACW) 230kV Feeder 1,230.0,185,Auto,Tree Blown,BPA,Unknown,TRI,225405
01/11/2024 22:30,01/12/2024 01:35,Alfalfa: Yakama Power 34.5kV Feeder 1,34.5,185,Auto,Tree Blown,BPA,Unknown,TRI,225406
01/11/2024 22:30,01/12/2024 01:35,Alfalfa: Yakama Power 34.5kV Feeder 2,34.5,185,Auto,Tree Blown,BPA,Unknown,TRI,225407
01/12/2024 04:43,01/12/2024 05:07,Spirit: Avista Corp 115kV Feeder 1,115.0,24,Auto,Unknown,BPA,Unknown,SPK,225409
01/12/2024 04:43,01/12/2024 05:07,Metaline Falls: Pend Oreille PUD 115kV Feeder 1,115.0,24,Auto,Unknown,BPA,Unknown,SPK,225410
01/12/2024 04:43,01/12/2024 05:07,Box Canyon PH: Pend Oreille PUD 115kV Feeder 1,115.0,24,Auto,Unknown,BPA,Unknown,SPK,225411
01/12/2024 05:10,01/12/2024 06:27,Spirit: Avista Corp 115kV Feeder 1,115.0,77,Auto,Tree Blown,BPA,Unknown,SPK,225413
01/12/2024 05:10,01/12/2024 07:41,Metaline Falls: Pend Oreille PUD 115kV Feeder 1,115.0,151,Auto,Tree Blown,BPA,Unknown,SPK,225414
01/12/2024 05:10,01/12/2024 09:30,Box Canyon PH: Pend Oreille PUD 115kV Feeder 1,115.0,260,Auto,Tree Blown,BPA,Unknown,SPK,225415
01/12/2024 05:34,01/12/2024 16:21,Grandview: USBR Roza 34.5kV Feeder 1,34.5,647,Auto,Vehicle,Customer,Unknown,TRI,225417
01/13/2024 08:27,01/13/2024 10:27,Outlook: PacifiCorp (PACW) 230kV Feeder 1,230.0,120,Auto,Tree Blown,BPA,Unknown,TRI,225426
01/13/2024 08:27,01/13/2024 10:27,Alfalfa: Yakama Power 34.5kV Feeder 1,34.5,120,Auto,Tree Blown,BPA,Unknown,TRI,225427
01/13/2024 08:27,01/13/2024 10:27,Alfalfa: Yakama Power 34.5kV Feeder 2,34.5,120,Auto,Tree Blown,BPA,Unknown,TRI,225428
01/13/2024 09:06,01/19/2024 00:30,Carmen PH: EWEB (Eugene OR) 115kV Feeder 1,115.0,8124,Auto,Ice,BPA,Unknown,EUG,225430
01/13/2024 09:06,01/16/2024 20:50,Blue River: Lane Elec Coop 115kV Feeder 1,115.0,5024,Auto,Unknown,Unknown,Unknown,EUG,225431
01/13/2024 11:23,01/13/2024 11:24,Walton: Blachly-Lane Co 12.5kV Feeder 1,12.5,1,Auto,Tree Blown,BPA,Unknown,EUG,225434
01/13/2024 11:23,01/13/2024 11:24,Mapleton: Blachly-Lane Co 34.5kV Feeder 1,34.5,1,Auto,Tree Blown,BPA,Unknown,EUG,225435
01/13/2024 11:23,01/13/2024 11:24,Mapleton: Central Linc PUD 12.5kV Feeder 1,12.5,1,Auto,Tree Blown,BPA,Unknown,EUG,225436
01/13/2024 11:23,01/13/2024 11:24,Noti Creek: Emerald PUD 115kV Feeder 1,115.0,1,Auto,Tree Blown,BPA,Unknown,EUG,225437
01/13/2024 11:23,01/13/2024 11:24,Fern Ridge: Lane Elec Coop 115kV Feeder 1,115.0,1,Auto,Tree Blown,BPA,Unknown,EUG,225438
01/13/2024 11:23,01/13/2024 11:24,Rainbow Valley: Lane Elec Coop 115kV Feeder 1,115.0,1,Auto,Tree Blown,BPA,Unknown,EUG,225439
01/13/2024 12:45,01/13/2024 18:01,Santiam: Consumers Power 69kV Feeder 1,69.0,316,Auto,Unknown,Unknown,Unknown,SAL,225442
01/13/2024 13:40,01/13/2024 13:40,Bald Mountain: Klickitat Co PUD 69kV Feeder 1,69.0,0,Auto,Weather,BPA,Unknown,TDA,225447
01/13/2024 13:40,01/13/2024 13:40,Bald Mountain: PacifiCorp (PACW) 69kV Feeder 1,69.0,0,Auto,Unknown,BPA,Unknown,TDA,225448
01/13/2024 13:40,01/13/2024 13:40,Carson: Skamania Co PUD 115kV Feeder 1,115.0,0,Auto,Weather,BPA,Unknown,LGV,225449
01/13/2024 13:40,01/13/2024 13:40,North Bonneville: Skamania Co PUD 115kV Feeder 1,115.0,0,Auto,Weather,BPA,Unknown,LGV,225450
01/13/2024 13:40,01/13/2024 13:40,Stevenson: Skamania Co PUD 115kV Feeder 1,115.0,0,Auto,Weather,BPA,Unknown,LGV,225451
